,du/dx1*d^2u/dx1^2,d^2u/dx1^2,du/dx1,C,u*du/dx1,u,u*d^2u/dx1^2,d^2u/dx1^2*du/dx1
eqn_0.1_0.txt,0.01730575877911943,0.0322814358408857,1.2413589131471692,1.0,1.1248568383856514,0.0,0.0,0.0
eqn_0.1_1.txt,0.017305758779119426,0.03228143584088579,1.2413589131471707,1.0,1.1248568383856532,0.0,0.0,0.0
eqn_0.1_2.txt,0.0,0.2174528538813988,1.4763072420492427,1.0,1.7563109840776001,-0.9513316931489458,-0.23144890561460454,0.0
eqn_0.1_3.txt,0.0,0.032281435840885726,1.241358913147169,1.0,1.1248568383856523,0.0,0.0,0.01730575877911949
eqn_0.1_4.txt,0.0,0.21745285388139896,1.4763072420492425,1.0,1.7563109840776001,-0.9513316931489476,-0.23144890561460466,0.0
eqn_0.2_0.txt,0.019360414754302765,0.051661831598284934,-2.2671266726146353,1.0,-1.4184992806393892,-0.0,-0.0,-0.0
eqn_0.2_1.txt,-0.0,0.05166183159828474,-2.267126672614636,1.0,-1.4184992806393952,-0.0,-0.0,0.01936041475430287
eqn_0.2_2.txt,-0.0,-0.0,-2.0064272695579777,1.0,-1.0917442528082808,-0.0,0.05540769089880462,0.02139540083580527
eqn_0.2_3.txt,0.0193604147543028,0.05166183159828452,-2.2671266726146353,1.0,-1.4184992806393926,-0.0,-0.0,-0.0
eqn_0.2_4.txt,-0.0,0.05166183159828466,-2.2671266726146366,1.0,-1.4184992806393903,-0.0,-0.0,0.019360414754302824
eqn_0.3_0.txt,0.012101737062122364,0.06646004834263987,-2.0281093628452926,1.0,-1.8779443699886194,-0.0,-0.0,-0.0
eqn_0.3_1.txt,0.009339037690507217,0.008592887299890446,-0.9587271094258916,1.0,-0.9645554396195734,-0.9268761079048089,-0.0,-0.0
eqn_0.3_2.txt,-0.0,0.00859288729989042,-0.9587271094258927,1.0,-0.9645554396195734,-0.9268761079048089,-0.0,0.009339037690507236
eqn_0.3_3.txt,-0.0,0.06646004834263987,-2.0281093628452926,1.0,-1.8779443699886194,-0.0,-0.0,0.012101737062122364
eqn_0.3_4.txt,0.012101737062122525,0.06646004834263995,-2.0281093628452944,1.0,-1.8779443699886194,-0.0,-0.0,-0.0
eqn_0.4_0.txt,0.023010479091047493,-0.0,-1.7578805985305617,1.0,-0.0,2.3812064413509733,0.18055617362747955,-0.0
eqn_0.4_1.txt,0.023010479091047774,-0.0,-1.7578805985305541,1.0,-0.0,2.3812064413509595,0.1805561736274749,-0.0
eqn_0.4_2.txt,0.022392241112886572,0.03185558130563076,-1.9238834017537174,1.0,-0.0,2.757649164772727,0.16664270128060524,-0.0
eqn_0.4_3.txt,0.02301047909104787,-0.0,-1.7578805985305572,1.0,-0.0,2.3812064413509684,0.1805561736274752,-0.0
eqn_0.4_4.txt,0.023010479091047444,-0.0,-1.7578805985305603,1.0,-0.0,2.3812064413509706,0.18055617362747944,-0.0
eqn_0.5_0.txt,-0.06580481377516943,-0.10239863839378424,0.0,1.0,1.7860613234466902,-4.017054943039019,0.0,0.0
eqn_0.5_1.txt,-0.06580481377516961,-0.10239863839378446,0.0,1.0,1.7860613234466898,-4.017054943039017,0.0,0.0
eqn_0.5_2.txt,-0.06580481377516961,-0.10239863839378446,0.0,1.0,1.7860613234466898,-4.017054943039017,0.0,0.0
eqn_0.5_3.txt,0.0,0.2155156143318283,1.1602019122014084,1.0,1.4632023935367362,-1.4137592675094544,-0.24812394817035055,0.0
eqn_0.5_4.txt,0.0,0.21551561433182853,1.1602019122014107,1.0,1.4632023935367355,-1.413759267509452,-0.24812394817035038,0.0
