,u,d^2u/dx1^2,du/dx1,u*d^2u/dx1^2,C,u*du/dx1,du/dx1*d^2u/dx1^2,d^2u/dx1^2*du/dx1
eqn_0.1_0.txt,-0.9958041895485289,2.0731509070103722e-07,0.0003907136817610274,-6.801824730016439e-07,1.0,0.002588352368290436,0.0,0.0
eqn_0.1_1.txt,-0.9958543399645592,2.0359967100436756e-07,0.0,-7.888471032214786e-07,1.0,0.0022463477957744603,0.0,0.0
eqn_0.1_2.txt,-0.995854339964192,2.0359967091389817e-07,0.0,-7.888471032008251e-07,1.0,0.0022463477957744586,0.0,0.0
eqn_0.1_3.txt,-0.9958041895485298,2.0731509070103717e-07,0.00039071368176101456,-6.801824730018548e-07,1.0,0.0025883523682904354,0.0,0.0
eqn_0.1_4.txt,-0.9958041895485299,2.0731509070105535e-07,0.0003907136817610337,-6.801824730018151e-07,1.0,0.002588352368290438,0.0,0.0
eqn_0.2_0.txt,-1.004920557993719,1.9841365239435848e-07,0.0010698344746489137,-3.9611236135018603e-07,1.0,0.0031230658162541163,0.0,0.0
eqn_0.2_1.txt,-1.0049205579937144,1.984136523940568e-07,0.0010698344746480567,-3.9611236134982054e-07,1.0,0.0031230658162541276,0.0,0.0
eqn_0.2_2.txt,-1.0049205579945135,1.9841365227096753e-07,0.0010698344746099492,-3.9611236044006416e-07,1.0,0.0031230658162541254,0.0,0.0
eqn_0.2_3.txt,-1.0049205579937184,1.9841365239422989e-07,0.0010698344746489664,-3.961123613502635e-07,1.0,0.0031230658162541233,0.0,0.0
eqn_0.2_4.txt,-1.0049205579937206,1.984136523940352e-07,0.001069834474648946,-3.96112361349306e-07,1.0,0.0031230658162541285,0.0,0.0
eqn_0.3_0.txt,-1.0000364627396825,3.187469712213638e-07,0.0014748628726545107,-6.608203044235452e-07,1.0,0.004012067772519816,0.0,0.0
eqn_0.3_1.txt,-1.0000364627396903,3.187469712204808e-07,0.001474862872654636,-6.608203044214655e-07,1.0,0.004012067772519824,0.0,0.0
eqn_0.3_2.txt,-1.000036462739688,3.1874697122056467e-07,0.0014748628726545766,-6.608203044212993e-07,1.0,0.004012067772519829,0.0,0.0
eqn_0.3_3.txt,-1.0000364627396825,3.187469712212179e-07,0.0014748628726546336,-6.608203044232189e-07,1.0,0.004012067772519816,0.0,0.0
eqn_0.3_4.txt,-1.0006480016840553,0.0,0.0016906840790655456,0.0,1.0,0.003952847911374039,8.77985348833734e-11,0.0
eqn_0.4_0.txt,-1.0012858635117363,0.0,0.00282610447205654,0.0,1.0,0.005042252282446401,2.949205517138039e-10,0.0
eqn_0.4_1.txt,-1.0008377637426327,5.068684133720496e-07,0.001429460244672652,-1.0490553416071936e-06,1.0,0.003959863344624678,0.0,0.0
eqn_0.4_2.txt,-1.0008377637426304,5.068684133716711e-07,0.0014294602446724989,-1.0490553416064776e-06,1.0,0.003959863344624673,0.0,0.0
eqn_0.4_3.txt,-1.0012858635117337,0.0,0.0028261044720564246,0.0,1.0,0.005042252282446407,0.0,2.949205517137848e-10
eqn_0.4_4.txt,-1.0032847243309981,-9.191151752177025e-07,0.004843725196347541,0.0,1.0,0.0028542190308194076,0.0,0.0
eqn_0.5_0.txt,-0.9947608988901886,6.422180821949201e-07,0.001327778763744187,-1.3525567057999698e-06,1.0,0.003914901342350892,0.0,0.0
eqn_0.5_1.txt,-0.9947608988901896,6.422180821950882e-07,0.0013277787637441872,-1.3525567058000124e-06,1.0,0.0039149013423508796,0.0,0.0
eqn_0.5_2.txt,-0.9947608988901842,6.42218082192038e-07,0.0013277787637438474,-1.3525567057938862e-06,1.0,0.003914901342350832,0.0,0.0
eqn_0.5_3.txt,-0.9947608988901877,6.422180821952341e-07,0.0013277787637442698,-1.352556705800571e-06,1.0,0.003914901342350905,0.0,0.0
eqn_0.5_4.txt,-0.0,-0.0,-1.460116172012216,-0.0,1.0,-1.7417960289894958,-0.0,1.7765476678564448e-07
